id,diameter,fluorescence,viability,cellType
90,9.6,128,25.9,NK-Cell
91,15.5,475,68.5,T-Cell
92,19.2,658,78.3,B-Cell
93,12.6,291,45.1,T-Cell
94,24.2,885,92.0,Macrophage
95,10.9,201,37.4,NK-Cell
96,17.3,561,73.2,T-Cell
97,20.4,738,84.7,B-Cell
98,14.3,375,54.6,T-Cell
99,23.1,838,88.5,Macrophage
100,10.0,156,29.1,NK-Cell
101,16.2,498,66.8,T-Cell
102,18.9,641,77.4,B-Cell
103,13.4,339,49.5,T-Cell
104,22.7,808,86.9,Macrophage
105,9.8,142,28.3,NK-Cell
106,15.6,479,70.7,T-Cell
107,19.6,695,81.7,B-Cell
108,12.7,283,44.5,T-Cell
109,24.4,891,91.3,Macrophage
110,11.2,229,39.8,NK-Cell
111,17.0,541,72.1,T-Cell
112,20.2,721,83.5,B-Cell
113,14.5,388,55.9,T-Cell
114,21.6,772,85.4,Macrophage
115,9.5,121,26.2,NK-Cell
116,16.4,505,68.3,T-Cell
117,18.4,602,75.1,B-Cell
118,13.7,351,51.6,T-Cell
119,23.7,862,89.8,Macrophage
120,10.7,192,35.9,NK-Cell
121,15.3,463,67.6,T-Cell
122,19.1,661,78.9,B-Cell
123,12.2,268,42.9,T-Cell
124,22.4,815,87.1,Macrophage
125,11.1,215,38.7,NK-Cell
126,17.5,572,74.2,T-Cell
127,20.6,745,85.3,B-Cell
128,14.1,364,53.2,T-Cell
129,23.4,848,88.6,Macrophage
130,10.1,159,31.4,NK-Cell
131,16.9,535,69.7,T-Cell
132,18.7,634,76.2,B-Cell
133,13.2,326,48.1,T-Cell
134,21.9,782,86.5,Macrophage
135,9.7,131,27.1,NK-Cell
136,15.8,486,71.1,T-Cell
137,19.5,681,80.8,B-Cell
138,12.9,301,46.8,T-Cell
139,24.0,876,90.3,Macrophage
140,11.3,238,41.2,NK-Cell
141,17.1,548,72.6,T-Cell
142,20.3,731,84.2,B-Cell
143,14.6,395,56.5,T-Cell
144,21.7,775,85.7,Macrophage
145,9.6,125,25.6,NK-Cell
146,16.3,501,67.4,T-Cell
147,18.5,615,75.6,B-Cell
148,13.5,342,50.2,T-Cell
149,23.6,858,89.2,Macrophage
150,10.5,181,34.1,NK-Cell
151,15.4,469,69.2,T-Cell
152,19.3,674,79.6,B-Cell
153,12.4,275,43.6,T-Cell
154,22.6,821,87.6,Macrophage
155,10.8,205,36.8,NK-Cell
156,17.7,582,75.1,T-Cell
157,20.8,756,85.9,B-Cell
158,14.2,371,53.9,T-Cell
159,23.2,842,88.1,Macrophage
160,10.0,152,29.5,NK-Cell
161,16.6,525,68.7,T-Cell
162,18.8,642,77.1,B-Cell
163,13.1,328,47.6,T-Cell
164,21.5,768,85.8,Macrophage
165,9.9,138,28.6,NK-Cell
166,15.9,492,70.5,T-Cell
167,19.7,703,82.3,B-Cell
168,12.8,288,45.3,T-Cell
169,24.2,882,91.7,Macrophage
170,11.4,241,40.5,NK-Cell
171,17.2,555,73.5,T-Cell
172,20.1,718,83.3,B-Cell
173,14.7,398,56.8,T-Cell
174,21.4,762,85.2,Macrophage
175,9.5,118,25.1,NK-Cell
176,16.5,512,68.1,T-Cell
177,18.3,598,74.7,B-Cell
178,13.8,356,51.9,T-Cell
179,23.8,865,90.1,Macrophage
180,10.6,185,35.3,NK-Cell
181,15.2,458,67.9,T-Cell
182,19.4,678,79.2,B-Cell
183,12.5,272,42.8,T-Cell
184,22.5,816,87.3,Macrophage
185,11.0,218,38.3,NK-Cell
186,17.8,586,75.6,T-Cell
187,20.5,749,85.1,B-Cell
188,14.3,375,54.2,T-Cell
189,23.5,851,88.4,Macrophage
190,10.2,162,32.1,NK-Cell
191,16.8,538,70.3,T-Cell
192,18.6,628,76.5,B-Cell
193,13.3,334,48.6,T-Cell
194,21.8,785,86.3,Macrophage
195,9.6,128,26.4,NK-Cell
196,15.7,478,69.8,T-Cell
197,19.2,664,78.6,B-Cell
198,12.7,294,44.9,T-Cell
199,24.1,888,91.9,Macrophage
200,10.9,208,37.6,NK-Cell
201,17.4,565,74.8,T-Cell
202,20.6,742,84.9,B-Cell
203,14.5,382,55.3,T-Cell
204,23.1,839,88.7,Macrophage
205,10.1,158,30.7,NK-Cell
206,16.1,495,66.5,T-Cell
207,18.9,645,77.5,B-Cell
208,13.6,341,49.7,T-Cell
209,22.7,812,87.1,Macrophage
210,9.8,141,28.1,NK-Cell
211,15.5,472,70.9,T-Cell
212,19.6,698,81.5,B-Cell
213,12.3,265,42.1,T-Cell
214,24.3,892,91.6,Macrophage
215,11.2,235,40.1,NK-Cell
216,17.0,545,72.8,T-Cell
217,20.2,725,83.9,B-Cell
218,14.8,401,57.1,T-Cell
219,21.6,771,85.6,Macrophage
220,9.5,115,24.8,NK-Cell
221,16.4,508,68.6,T-Cell
222,18.5,608,75.3,B-Cell
223,13.9,358,51.4,T-Cell
224,23.7,861,89.5,Macrophage
225,10.7,189,35.6,NK-Cell
226,15.3,461,67.3,T-Cell
227,19.3,671,79.1,B-Cell
228,12.6,281,44.2,T-Cell
229,22.4,818,87.8,Macrophage
230,10.8,202,36.9,NK-Cell
231,17.6,578,75.3,T-Cell
232,20.7,751,85.7,B-Cell
233,14.1,368,53.6,T-Cell
234,23.3,847,88.3,Macrophage
235,10.0,151,29.3,NK-Cell
236,16.7,532,69.2,T-Cell
237,18.8,639,76.7,B-Cell
238,13.2,325,47.8,T-Cell
239,21.9,787,86.4,Macrophage
240,9.7,134,27.3,NK-Cell
241,15.9,489,70.6,T-Cell
242,19.5,685,81.1,B-Cell
243,12.9,297,46.1,T-Cell
244,24.0,877,90.6,Macrophage
245,11.3,239,41.5,NK-Cell
246,17.1,549,72.3,T-Cell
247,20.3,733,84.3,B-Cell
248,14.6,394,56.3,T-Cell
249,21.5,766,85.5,Macrophage
250,9.6,122,25.3,NK-Cell
251,16.3,503,67.8,T-Cell
252,18.4,611,75.4,B-Cell
253,13.5,343,50.5,T-Cell
254,23.6,859,89.3,Macrophage
255,10.5,183,34.3,NK-Cell
256,15.4,468,69.4,T-Cell
257,19.4,676,79.5,B-Cell
258,12.4,273,43.5,T-Cell
259,22.6,823,87.7,Macrophage
260,10.9,206,37.1,NK-Cell
261,17.7,583,75.5,T-Cell
262,20.8,757,85.9,B-Cell
263,14.2,373,53.8,T-Cell
264,23.2,843,88.2,Macrophage
265,10.1,154,30.1,NK-Cell
266,16.6,527,68.9,T-Cell
267,18.8,643,77.3,B-Cell
268,13.1,329,47.9,T-Cell
269,21.7,769,85.9,Macrophage
270,9.9,139,28.4,NK-Cell
271,15.8,491,70.4,T-Cell
272,19.7,705,82.5,B-Cell
273,12.8,289,45.5,T-Cell
274,24.2,883,91.5,Macrophage
275,11.4,243,40.7,NK-Cell
276,17.2,556,73.6,T-Cell
277,20.1,719,83.5,B-Cell
278,14.7,399,56.9,T-Cell
279,21.4,763,85.3,Macrophage
280,9.5,117,25.2,NK-Cell
281,16.5,513,68.3,T-Cell
282,18.3,599,74.9,B-Cell
283,13.8,357,51.8,T-Cell
284,23.8,866,90.2,Macrophage
285,10.6,186,35.4,NK-Cell
286,15.2,459,68.1,T-Cell
287,19.4,679,79.3,B-Cell
288,12.5,274,43.1,T-Cell
289,22.5,817,87.5,Macrophage
290,11.0,219,38.5,NK-Cell
291,17.8,587,75.7,T-Cell
292,20.5,748,85.2,B-Cell
293,14.3,376,54.3,T-Cell
294,23.4,852,88.5,Macrophage
295,10.2,163,32.3,NK-Cell
296,16.8,539,70.5,T-Cell
297,18.6,629,76.7,B-Cell
298,13.3,335,48.8,T-Cell
299,21.8,786,86.5,Macrophage
300,9.6,129,26.6,NK-Cell
301,15.7,479,69.9,T-Cell
302,19.2,665,78.7,B-Cell
303,12.7,295,45.1,T-Cell
304,24.1,889,91.8,Macrophage
305,10.9,209,37.8,NK-Cell
306,17.4,566,74.9,T-Cell
307,20.6,743,85.1,B-Cell
308,14.5,383,55.5,T-Cell
309,23.1,840,88.8,Macrophage
310,10.1,159,30.9,NK-Cell
311,16.1,496,66.7,T-Cell
312,18.9,646,77.7,B-Cell
313,13.6,342,49.9,T-Cell
314,22.7,813,87.3,Macrophage
315,9.8,142,28.3,NK-Cell
316,15.5,473,71.1,T-Cell
317,19.6,699,81.7,B-Cell
318,12.3,266,42.3,T-Cell
319,24.3,893,91.8,Macrophage
320,11.2,236,40.3,NK-Cell
321,17.0,546,72.9,T-Cell
322,20.2,726,84.1,B-Cell
323,14.8,402,57.3,T-Cell
324,21.6,772,85.8,Macrophage
325,9.5,116,24.9,NK-Cell
326,16.4,509,68.8,T-Cell
327,18.5,609,75.5,B-Cell
328,13.9,359,51.6,T-Cell
329,23.7,862,89.7,Macrophage
330,10.7,190,35.8,NK-Cell
331,15.3,462,67.5,T-Cell
332,19.3,672,79.3,B-Cell
333,12.6,282,44.4,T-Cell
334,22.4,819,87.9,Macrophage
335,10.8,203,37.1,NK-Cell
336,17.6,579,75.6,T-Cell
337,20.7,752,85.9,B-Cell
338,14.1,369,53.8,T-Cell
339,23.3,848,88.4,Macrophage
340,10.0,152,29.5,NK-Cell
341,16.7,533,69.3,T-Cell
342,18.8,640,76.9,B-Cell
343,13.2,326,47.9,T-Cell
344,21.9,788,86.5,Macrophage
345,9.7,135,27.5,NK-Cell
346,15.9,490,70.7,T-Cell
347,19.5,686,81.3,B-Cell
348,12.9,298,46.3,T-Cell
349,24.0,878,90.7,Macrophage
350,11.3,240,41.7,NK-Cell
351,17.1,550,72.5,T-Cell
352,20.3,734,84.5,B-Cell
353,14.6,395,56.5,T-Cell
354,21.5,767,85.7,Macrophage
355,9.6,123,25.5,NK-Cell
356,16.3,504,67.9,T-Cell
357,18.4,612,75.6,B-Cell
358,13.5,344,50.7,T-Cell
359,23.6,860,89.5,Macrophage
360,10.5,184,34.5,NK-Cell
361,15.4,469,69.6,T-Cell
362,19.4,677,79.7,B-Cell
363,12.4,274,43.7,T-Cell
364,22.6,824,87.9,Macrophage
365,10.9,207,37.3,NK-Cell
366,17.7,584,75.7,T-Cell
367,20.8,758,86.1,B-Cell
368,14.2,374,53.9,T-Cell
369,23.2,844,88.3,Macrophage
370,10.1,155,30.3,NK-Cell
371,16.6,528,69.1,T-Cell
372,18.8,644,77.5,B-Cell
373,13.1,330,48.1,T-Cell
374,21.7,770,86.1,Macrophage
375,9.9,140,28.6,NK-Cell
376,15.8,492,70.6,T-Cell
377,19.7,706,82.7,B-Cell
378,12.8,290,45.7,T-Cell
379,24.2,884,91.7,Macrophage
380,11.4,244,40.9,NK-Cell
381,17.2,557,73.8,T-Cell
382,20.1,720,83.7,B-Cell
383,14.7,400,57.1,T-Cell
384,21.4,764,85.5,Macrophage
385,9.5,118,25.4,NK-Cell
386,16.5,514,68.5,T-Cell
387,18.3,600,75.1,B-Cell
388,13.8,358,51.9,T-Cell
389,23.8,867,90.3,Macrophage
390,10.6,187,35.6,NK-Cell
391,15.2,460,68.3,T-Cell
392,19.4,680,79.5,B-Cell
393,12.5,275,43.3,T-Cell
394,22.5,818,87.7,Macrophage
395,11.0,220,38.7,NK-Cell
396,17.8,588,75.9,T-Cell
397,20.5,749,85.4,B-Cell
398,14.3,377,54.5,T-Cell
399,23.4,853,88.7,Macrophage
400,10.2,164,32.5,NK-Cell
401,16.8,540,70.7,T-Cell
402,18.6,630,76.9,B-Cell
403,13.3,336,48.9,T-Cell
404,21.8,787,86.7,Macrophage
405,9.6,130,26.8,NK-Cell
406,15.7,480,70.1,T-Cell
407,19.2,666,78.9,B-Cell
408,12.7,296,45.3,T-Cell
409,24.1,890,91.9,Macrophage
410,10.9,210,38.0,NK-Cell
411,17.4,567,75.1,T-Cell
412,20.6,744,85.3,B-Cell
413,14.5,384,55.7,T-Cell
414,23.1,841,88.9,Macrophage
415,10.1,160,31.1,NK-Cell
416,16.1,497,66.9,T-Cell
417,18.9,647,77.9,B-Cell
418,13.6,343,50.1,T-Cell
419,22.7,814,87.5,Macrophage
420,9.8,143,28.5,NK-Cell
421,15.5,474,71.3,T-Cell
422,19.6,700,81.9,B-Cell
423,12.3,267,42.5,T-Cell
424,24.3,894,91.9,Macrophage
425,11.2,237,40.5,NK-Cell
426,17.0,547,73.1,T-Cell
427,20.2,727,84.3,B-Cell
428,14.8,403,57.5,T-Cell
429,21.6,773,85.9,Macrophage
430,9.5,117,25.1,NK-Cell
431,16.4,510,68.9,T-Cell
432,18.5,610,75.7,B-Cell
433,13.9,360,51.8,T-Cell
434,23.7,863,89.9,Macrophage
435,10.7,191,36.0,NK-Cell
436,15.3,463,67.7,T-Cell
437,19.3,673,79.5,B-Cell
438,12.6,283,44.6,T-Cell
439,22.4,820,88.1,Macrophage
440,10.8,204,37.3,NK-Cell
441,17.6,580,75.8,T-Cell
442,20.7,753,86.1,B-Cell
443,14.1,370,53.9,T-Cell
444,23.3,849,88.5,Macrophage
445,10.0,153,29.7,NK-Cell
446,16.7,534,69.5,T-Cell
447,18.8,641,77.1,B-Cell
448,13.2,327,48.1,T-Cell
449,21.9,789,86.7,Macrophage
450,9.7,136,27.7,NK-Cell
451,15.9,491,70.9,T-Cell
452,19.5,687,81.5,B-Cell
453,12.9,299,46.5,T-Cell
454,24.0,879,90.9,Macrophage
455,11.3,241,41.9,NK-Cell
456,17.1,551,72.7,T-Cell
457,20.3,735,84.7,B-Cell
458,14.6,396,56.7,T-Cell
459,21.5,768,85.9,Macrophage
460,9.6,124,25.7,NK-Cell
461,16.3,505,68.1,T-Cell
462,18.4,613,75.8,B-Cell
463,13.5,345,50.9,T-Cell
464,23.6,861,89.7,Macrophage
465,10.5,185,34.7,NK-Cell
466,15.4,470,69.8,T-Cell
467,19.4,678,79.9,B-Cell
468,12.4,275,43.9,T-Cell
469,22.6,825,88.1,Macrophage
470,10.9,208,37.5,NK-Cell
471,17.7,585,75.9,T-Cell
472,20.8,759,86.3,B-Cell
473,14.2,375,54.1,T-Cell
474,23.2,845,88.5,Macrophage
475,10.1,156,30.5,NK-Cell
476,16.6,529,69.3,T-Cell
477,18.8,645,77.7,B-Cell
478,13.1,331,48.3,T-Cell
479,21.7,771,86.3,Macrophage
480,9.9,141,28.8,NK-Cell
481,15.8,493,70.8,T-Cell
482,19.7,707,82.9,B-Cell
483,12.8,291,45.9,T-Cell
484,24.2,885,91.9,Macrophage
485,11.4,245,41.1,NK-Cell
486,17.2,558,73.9,T-Cell
487,20.1,721,83.9,B-Cell
488,14.7,401,57.3,T-Cell
489,21.4,765,85.7,Macrophage
490,9.5,119,25.6,NK-Cell
491,16.5,515,68.7,T-Cell
492,18.3,601,75.3,B-Cell
493,13.8,359,52.1,T-Cell
494,23.8,868,90.5,Macrophage
495,10.6,188,35.8,NK-Cell
496,15.2,461,68.5,T-Cell
497,19.4,681,79.7,B-Cell
498,12.5,276,43.5,T-Cell
499,22.5,819,87.9,Macrophage
500,11.0,221,38.9,NK-Cell
